Timestep,SolFlat,SolN,SolS,SolE,SolW,T_ext_C
2909,0,0,0,0,0,16.8
2910,0,0,0,0,0,16.9
2911,0.058,0.057,0.052,0.085,0.038,17.7
2912,0.165,0.145,0.161,0.223,0.092,18.5
2913,0.29,0.237,0.299,0.357,0.179,19.2
2914,0.369,0.291,0.393,0.417,0.267,20.2
2915,0.427,0.328,0.463,0.445,0.345,20.9
2916,0.48,0.364,0.525,0.461,0.427,21.6
2917,0.503,0.379,0.55,0.442,0.487,21.7
2918,0.483,0.366,0.524,0.381,0.509,22.3
2919,0.414,0.326,0.439,0.293,0.472,22.6
2920,0.322,0.27,0.328,0.207,0.391,22.6
2921,0.214,0.192,0.203,0.148,0.256,22.4
2922,0.137,0.129,0.121,0.106,0.165,22
2923,0.082,0.114,0.051,0.051,0.203,21.4
2924,0.027,0.026,0.026,0.026,0.026,20.9
2925,0.003,0.003,0.003,0.003,0.003,19.7
2926,0,0,0,0,0,18.7
2927,0,0,0,0,0,17.6
2928,0,0,0,0,0,16.5
2929,0,0,0,0,0,15.5
2930,0,0,0,0,0,14.4
2931,0,0,0,0,0,13.8
2932,0,0,0,0,0,13.1
2933,0,0,0,0,0,12.6
2934,0,0,0,0,0,12.8
2935,0.044,0.041,0.04,0.045,0.038,14.6
2936,0.118,0.105,0.115,0.157,0.068,16.5
2937,0.191,0.158,0.196,0.234,0.12,18.3
2938,0.209,0.176,0.209,0.217,0.168,20.2
2939,0.244,0.207,0.243,0.239,0.212,21.9
2940,0.332,0.273,0.339,0.313,0.299,23.2
2941,0.392,0.308,0.421,0.349,0.38,24.3
2942,0.415,0.325,0.445,0.336,0.434,25
2943,0.441,0.338,0.482,0.295,0.525,25.4
2944,0.424,0.333,0.448,0.205,0.576,25.4
2945,0.32,0.278,0.314,0.12,0.502,24.9
2946,0.21,0.217,0.174,0.096,0.393,23.9
2947,0.108,0.16,0.061,0.061,0.3,22.4
2948,0.034,0.032,0.032,0.032,0.032,21
2949,0.005,0.005,0.005,0.005,0.005,20
2950,0,0,0,0,0,18.9
2951,0,0,0,0,0,18
2952,0,0,0,0,0,17
2953,0,0,0,0,0,16.5
2954,0,0,0,0,0,16.1
2955,0,0,0,0,0,15.9
2956,0,0,0,0,0,15.8
2957,0,0,0,0,0,15.6
2958,0,0,0,0,0,15.7
2959,0.055,0.056,0.048,0.096,0.028,16.4
2960,0.185,0.162,0.184,0.277,0.078,17
